t,point_0_x,point_0_y,x1,y1,x2,y2
0,887.70435,489.09903,1211.2487,478.0599,1205.5872,717.30066
1,887.9905,489.06445,1211.4047,478.01907,1205.654,717.47034
2,887.823,489.06833,1211.2212,477.94733,1205.432,717.4663
3,887.80554,489.07602,1211.3059,478.01822,1205.444,717.4836
4,888.3046,489.20496,1211.5327,478.2376,1205.6433,717.84314
5,888.1443,489.23087,1211.4683,478.37027,1205.4102,718.0731
6,888.215,489.30453,1211.6338,478.6645,1205.4374,718.4746
7,888.04236,489.3577,1211.4941,478.89938,1205.291,718.7679
8,887.9082,489.33893,1210.9633,479.75778,1205.4652,719.4359
9,887.90344,489.296,1211.2476,479.63666,1205.2239,719.7573
10,887.68994,489.43924,1211.424,480.34845,1205.0902,721.2662
11,887.71985,489.2999,1211.7367,480.28326,1204.96,721.7425
12,887.602,489.65103,1212.9733,481.45764,1204.5261,724.18365
13,887.5573,489.4983,1213.298,481.52603,1204.206,724.7297
14,887.6683,489.35324,1215.2759,481.46555,1204.5123,726.1268
15,887.8501,489.5914,1219.6658,485.08566,1204.9675,730.3071
16,887.76276,489.24988,1219.8585,487.58673,1205.1946,730.79083
17,887.92554,489.27,1218.6324,495.08978,1204.0173,739.8867
18,887.9356,489.16272,1218.5193,495.73798,1203.9084,740.4581
19,887.6829,489.17108,1215.9111,502.19183,1204.1906,746.3265
20,888.0326,489.13437,1213.4946,512.1848,1204.2467,756.5967
21,887.88367,489.06473,1212.8762,513.45013,1204.205,757.52747
22,888.0127,489.28143,1213.4354,527.2888,1205.1936,771.37494
23,887.8922,489.25546,1213.3959,528.415,1205.1187,771.99365
24,887.6964,489.16214,1208.7141,544.5043,1202.9714,787.1255
25,887.61145,489.21225,1208.5826,545.9066,1202.9534,787.2806
26,887.0953,489.38016,1206.5266,562.09155,1201.711,804.696
27,886.99445,489.41968,1205.5957,563.4861,1201.6705,805.29065
28,886.51715,489.29977,1199.4326,584.1662,1203.9917,824.52594
29,886.4856,489.34207,1196.962,584.97595,1204.0681,824.8675
30,886.88696,489.19617,1190.5405,596.69073,1203.6388,834.14154
31,886.92615,489.3082,1183.8214,618.32556,1203.7805,855.27997
32,886.9703,489.17184,1182.0397,618.3281,1203.7426,855.9821
33,887.5137,489.02005,1166.159,643.82764,1204.304,878.39453
34,887.62036,488.91312,1162.8953,644.2964,1204.3236,878.7213
35,888.0077,489.0681,1151.9465,666.4115,1202.3745,900.77094
36,888.2266,488.9395,1149.666,666.4479,1202.2872,901.25116
37,888.35016,489.07495,1140.3777,679.48987,1202.3354,911.1711
38,888.76685,489.41138,1123.6008,704.199,1198.8378,929.89465
39,888.8292,489.34976,1120.8494,704.4532,1198.8417,930.305
40,887.676,489.60916,1091.5707,726.6486,1193.9666,945.2936
41,887.7383,489.63965,1091.0812,727.2434,1193.7755,945.82947
42,887.38617,489.87344,1061.6461,748.02625,1185.6013,955.0265
43,887.67645,489.7231,1060.7484,749.1634,1185.3787,955.2605
44,888.2588,489.21936,1045.9327,760.8561,1180.0367,959.0402
45,887.1513,489.39487,1011.764,778.1354,1164.6033,961.4127
46,887.4969,489.3286,1010.3119,778.376,1164.1562,961.2099
